#Name	PubChem	MP
"barbituric acid,5(2hopr)5-allyl"	17336	157.5
"2,4-dinitrochlorobenzene"	6	53
3-amino-2-(trifluoromethyl)pyridine	10419487	70
2-fluoro-4-chloroacetanilide	853174	157
Acid 9 (No name)	45116563	70
"1,2-difluoro-4,5-dimethoxybenzene"	853175	40
hexaethyldisiloxane	70442	-115
"1,1'-biphenyl -2,2'-dicarboxylic acid"	10210	233.5
n-hexylnaphthalene	169780	-18
"dimethylurea, sym"	7293	108
1-bromoperfluorooctane	9873	6
fluorene-2-carboxaldehyde	34804	84
"5-acetyl-2,3-dihydrobenzo[b]furan"	145220	58
OSM-S-24	145221	167.5
N-Benzoyl-N-(4-chlorophenyl)benzamide	12613721	144.85
Fluorometholone	9878	297
pentabromoethylbenzene	6800	138
Amphotericin B	14956	170
seneciphylline	521227	217.5
Vitamin C	54670067	191
2-phenyl-5-oxazolone	11252178	91
722 D	68711	119
Vitamin E	14985	2
1-(2-trifluoromethylphenyl)imidazole	1359	52
fenac	6805	161
Penicillin G	5904	215.5
2-(phenylsulfonyl)thiophene	284324	123
ethyl_p-acetoxybenzoate	2752083	34
2-bromo-4'-phenylacetophenone	67282	125
phthalimide	6809	238
3'-chloro-5'-fluoroacetophenone	2757531	53
"4'-(4-methoxyphenyl)-2,2':6',2''-terpyridine"	630929	162
allocryptopine	98570	160.5
Nalpha-[(benzyloxy)carbonyl]phenylalaninamide	3800796	163
methyl cholate	10960835	156
tetracosafluorotetradecahydrophenanthrene	78972	-20
altrenogest	13324	120
quinine	3034034	174
"4-hydroxy-3-{(1E)-1-[(2Z)-(2-oxo-1,2-dihydro-3H-indol-3-ylidene)hydrazinylidene]ethyl}-1-phenylquinolin-2(1H)-one"	6755631	267
sulfazamet	13326	195
perfluorodimethylcyclohexane	78975	-70
"2,4,5-Trichlorotoluene"	23128	82.4
Penicillin V	6869	124
fentrazamide	3081363	79
N-(trimethylsilyl)diethylamine	70454	-10
Dolasetron	60654	278
"methyl (3,5-dichlorophenyl)carbamate"	32842	121
"benzenamine, 4-(6-methyl-2-benzothiazolyl)-"	7087	194.8
"N,2-bis(4-methylphenyl)propanamide"	2750904	105
cinchonamine	521233	186
"N,3-bis(4-methylphenyl)butanamide"	2750905	105
cyclosporin a	2909	149.5
(2E)-2-[4-(4-methylphenyl)pentan-2-ylidene]hydrazinecarboxamide	2750908	146
ochratoxin b	609663	221
trolox c	40634	189
"8-{[8-hydroxy-6-methoxy-2-methyl-1-(2-methylpropyl)-1,2,3,4-tetrahydroisoquinolin-7-yl]oxy}-6-methoxy-2-methyl-1-(2-methylpropyl)-1,2,3,4-tetrahydroisoquinolin-7-ol"	2752090	164
vitamin e	2116	3
"3,3,3-trifluoro-N-(4-methylphenyl)-2-(trifluoromethyl)propanamide"	1885250	196
1-methyl-2-phenylindole	77095	99
9-propadienyl-9H-purin-6-amine	2747742	186
"7,11-dihydroxy-8-methoxy-1,3,4,6,11,11a-hexahydro-2H-pyrido[1,2-b]isoquinolin-2-one"	2752098	157
1-(4-hydroxy-3-methoxybenzyl)-6-methoxyisoquinolin-7-ol	2747743	209
bis(phenylthio)methane	77097	37
"methyl 3,3-dimethyl-2,3-dihydro-1H-indole-2-carboxylate"	2752613	169
3-(benzyloxy)androstane	3958712	148
"4,6-dichlororesorcinol"	67299	115
2-chloro-4-dimethylaminobenzaldehyde	74021	80
"11,11'-Piperazine-1,4-diylbis(8-chloro-5H-dibenzo[b,e][1,4]diazepine)"	2753984	334
"benzenamine, 3,3'-sulfonylbis-"	11741	171.5
Piperidin-1-yl-p-tolyl-methanethione	2753985	93
5-hydroxy-2-(trifluoromethyl)pyridine	2783388	175
"N'~1~,N'~2~-bis[(E)-(4-butoxyphenyl)methylidene]ethanedihydrazide"	2753986	302
"N,N'-({2-[(2-chlorobenzyl)oxy]phenyl}methanediyl)dibenzamide"	2753987	242
perfluoro-tri-n-ethylamine	78986	-110
pregnanediol v	4901	245
"1,1,2-trifluoroethane"	9890	-84
"N,N'-[(4-ethoxy-3-methoxyphenyl)methanediyl]dibenzamide"	2753988	211
2-fluoro-4-nitrotoluene	74025	35
fluorocyclohexane	78988	13
"1,2-dichloro-4-fluorobenzene"	74028	-1
"2-chloro-4h-1,3,2-benzodioxaphosphorin-4-one"	237010	38
(1E)-5-(4-methylphenyl)-1-phenylhex-1-en-3-one	2750911	88
"1,4-Dihydro-methylethylidene-1,4-methanonaphthalene"	139003	92
"1-(3,4-Dimethoxyphenyl)-2-phenylethanone"	678663	73
"N,N-diisopropylformamide"	75912	10
"9-(propan-2-ylidene)-1,2,3,4-tetrahydro-1,4-methanonaphthalene"	139004	90
"N,2-bis(4-methylphenyl)butanamide"	2750915	118
butyl nonanoate	39742	-38
o-vinyl_phenol	135442	29
Methyl 4-{[(4-methylphenyl)sulfonyl]oxy}benzoate	1771995	90.35
ethyl laurate	7800	-10
"methyl 5-(2-hydroxy-2,5,5,8a-tetramethyldecahydronaphthalen-1-yl)-3-methylpentanoate"	580733	70
2-aminopyridine-4-methanol	1515296	83
bis(2-diisopropylamino)ethyl methylphosphonite	575043	77.5
"disulfide, bis(phenylmethyl)"	9012	71.5
"2-hydroxy-4a,6a,9,9-tetramethyl-10-phenyl-2,3,4,4a,4b,5,6,6a,9,10,11,11a,11b,12-tetradecahydronaphtho[2',1':4,5]indeno[1,2-b]pyran-8(1H)-one"	4409441	233
2-nitrobiphenyl	6829	37.2
distearyl thiodipropionate	12738	66
"N,N'-bis{4-[(2,5-dioxopyrrolidin-1-yl)oxy]-4-oxobutyl}hexanediamide"	2747753	145
5-chloro-2-fluorobenzamide	2773592	136
"N,N'-bis[4-(hydroxyamino)-4-oxobutyl]hexanediamide"	2747754	163
"1,1,2,2,3,3,4,4-Octafluoro-1,4-diiodobutane"	78993	-9
3-aminorhodanine	74033	101.5
2-methylpropyl propanoate	10895	-71.4
tri(o-tolyl)phosphine	80271	125
glycerol triacetate	5541	3
bis(trimethylsilyl)carbodiimide	70473	-23
"2,4,6-trifluorophenol"	519974	50
tetraconazole	80277	6
"5(1,2-dihydroxy-et)-3,4-dihydroxy-5h-furan-2-one"	54676860	168.5
"1,1,2-triphenylethane-1,2-diol"	95527	163
3-bromochromone	521256	96
1-(o-tolyl)piperazine	91965	47
"3,4-difluorophenol"	75927	36
"benzene-1,4-diyldiethane-2,1-diyl bis(phenylcarbamate)"	2749145	213
"3,5-difluorophenol"	75928	53
7-bromoquinoline	521259	34
mptp	1388	40
N-acetylphthalimide	243267	137
methyl acetoacetate	7757	-80
2-methoxybiphenyl	6835	31
n-ethylcarbazol	6836	68
"2-thiophenesulfonamide, 5-[(3-hydroxypropyl)thio"	15599382	63
diphenylnitrosamine	6838	66.5
"diethyl 8-oxo-8H-cyclohepta[b]naphthalene-7,9-dicarboxylate"	2751965	161
"benzeneethanol, .alpha.,.alpha.-diphenyl-"	245013	89.5
"disulfide, bis(1,1-dimethylethyl)"	66060	-5
4-(chloroacetyl)morpholine	74040	29
eflucimibe	9804740	-144.25
"4-phenoxy-2-phenyl[1,3,5]triazino[1,2-a]benzimidazole"	2747767	247
4-n-decylbiphenyl	2801612	53
"3,5-dimethoxy-4-hydroxybenzhydrazide"	74043	156
lawesson's reagent	87949	229
1-nonadecanol	80281	63.3
"silanol, triphenyl-"	69925	154.8
3-methylpyridin-2-ol	70481	138
2-hydroxy-5-methylpyridine	70482	185
"2,4-dimethylsulfolane"	70483	-3
2-cyclopentylphenol	80285	34.5
"3,4-dimethyl-6-tert-butylphenol"	74048	46
"4,4'-Diethoxybiphenyl"	617993	174
"2,3,4,5-tetramethylpyrrole"	70484	105
ticrynafen	38409	149
2-(methylthio)naphthalene	139022	63
1-methylimidazole	1390	-6
1-boc-imidazole	521262	46
"1,2,4-trimethylnaphthalene"	75933	55.5
exo-2-endo-3-norbornanediol	85735	141
"benz[a]acridin-11(7H)-one, 8,9,10,12-tetrahydro-12-(4-methoxyphenyl)-9,9-dimethyl-"	2753731	289
"2,4-dichloro-5-nitropyrimidine"	521266	30
2'-methyl-4'-nitroacetanilide	75936	199
4'-acetamidoacetophenone	75937	169
"1-propanamine, 2-methyl-n,n-bis(2-methylpropyl)-"	14222	-21.8
1-(chloromethyl)naphthalene	6845	32
1-Nitronaphthalene	6849	62
8-carboxynaphthalene-1-carboxamide	2777172	268
"3,5-difluoro-4-methoxyphenol"	17750665	69
"1-(2-methylthio),2-dibenzoyl-1-tert-butylhydrazi"	23276429	196.5
2-hydrazino-5-[hydroxy(oxido)amino]pyridine	2747774	207
"n,n-diethyl-2-chloroethylamine"	13364	210.5
(~2~H_8_)Tetrahydrofuran	80290	-106
picein	539591	195.5
"1,1,1,2,2,3,3-heptafluoro-7,7-dimethyl-4,6-octa*"	28614	38
Simvastatin	54454	136
m-amino_benzyl_alcohol	80293	95
1-chlorooctadecane	18815	28.6
5-methyl-2-(1-methylethyl)cyclohexyl 2-benzyl-3-oxobutanoate	2750810	68
hexamethyldisilane	74057	12
N-(4-methoxyphenyl)benzamide	139031	153
hexaphenyldisilane	74059	369
N-benzoyl-dl-alanine	709778	165
haloxyfop	50895	107.5
2-(4-methoxyphenyl)ethanol	69705	28
"4,6-diamino-2-(methylthio)pyrimidine"	70497	189
4-chloro-n-methylpyridine-2-carboxamide	1476814	42
N-hydroxy-N-methyl-4-benzyloxyphenylacetamide	129232	96
haloxyfop-methyl	50896	56
"1h-indole-3-acetamide, n-[(4-oh-ph)me]-5-no2-alp"	10688438	240
trifluridine	253083	187.5
fluazifop-p-butyl	50897	5
"benzene, 1-(1,1-dimethylethyl)-2-methoxy-4-methy"	6753	85
6-nitrocoumarin	75944	188
N-benzyloxycarbonyl-l-alanine	736104	85
2'-hydroxy-6'-methoxyacetophenone	69709	58
difenacoum	54676884	216
4-n-hexadecyloxyaniline	139038	60
"7-methoxy-1,4-benzothiazin-3(4h)-one"	403666	185
N-(chloroacetyl)glycine	233485	102
"benzene, 1-iodo-4-methoxy-"	69676	53
1-(p-toluenesulfonyl)indole	10956616	85
Fluorene	6853	116
Carbazole	6854	247
benzoxiquine	6855	119
2-bromodibenzofuran	6856	110
quinisocaine	6857	146
"3,4,5-trimethoxybenzaldehyde"	6858	75
N-(4-bromophenyl)-2-oxopropanamide	2747780	166
ethyl 1h-indazole-3-carboxylate	78251	133
N-(4-methoxyphenyl)-2-oxopropanamide	2747781	127
5-hydroxytryptophan dl-form	144	299
(2E)-2-(carbamoylhydrazono)-N-phenylpropanamide	2747782	237
"1-(3-chloro-2-methyl),2-dibenzoyl-1-tert-butylhy"	23276439	213.5
1-cyclopentylheneicosane	23171	42
Propyl 4-hydroxybenzoate	7175	96
phenyl phosphorodichloridate	13038	-1
(2E)-N-(4-bromophenyl)-2-(carbamoylhydrazono)propanamide	2747783	244
(2E)-2-(carbamoylhydrazono)-N-(4-methoxyphenyl)propanamide	2747784	227
(2E)-2-(carbamothioylhydrazono)-N-phenylpropanamide	2747785	212
"1,4-diiodo octafluorobutane"	78993	-9
"1,1,4,4-tetraphenyl-1,3-butadiene"	74060	198
carbonic dihydrazide	73948	154
(2E)-N-(4-bromophenyl)-2-(carbamothioylhydrazono)propanamide	2747786	229
"5-[(3-Nitrophenyl)hydrazono]-2-thioxodihydropyrimidine-4,6(1H,5H)-dione"	5646286	330
5'-chloro-2'-hydroxyacetophenone	74061	53
(2E)-2-(carbamothioylhydrazono)-N-(4-methoxyphenyl)propanamide	2747787	234
"acetamide, n-(2-ethoxyphenyl)-"	11383	79
"3,6-diphenyl-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole"	2747788	83
9-bromoanthracene	74062	100
"6-(4-Methoxyphenyl)-3-phenyl-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole"	2747789	160
"2,3-difluoro-6-methoxybenzaldehyde"	2774112	59
2-methylnonane	13379	-74.6
"(6alpha,7alpha)-12-hydroxy-6,7-epoxyabieta-8,12-diene-11,14-dione"	4211178	202
"1h-pyrazole, 4,5-dihydro-3-phenyl-"	589745	45.8
"5-{[5-(4-Methylphenyl)-2-furyl]methylene}pyrimidine-2,4,6(1H,3H,5H)-trione"	2177048	265
di-thiophen-2-yl-methanone	69713	90
"(3beta,4alpha,8alpha,17xi,20xi)-4,14-dimethyl-8,9-epoxycholestan-3-ol"	73135371	162
1-octen-3-ol	18827	-49
"5,5-di(ethylthio)pentane-1,2,3,4-tetraol"	95553	127
2'-hydroxy-5'-methoxyacetophenone	69714	49
dipropetryne	20105	105
1-(4-aminophenyl)ethanol	85753	70
"2,4,6-triphenyl-1,3,5-triazine"	10305	235
5-Amino-1-(2-hydroxyethyl)-1H-pyrazole-4-carboxamide	223690	239
"N-(4-methylphenyl)-3-(4,7,7-trimethyl-3-oxobicyclo[2.2.1]hept-2-yl)propanamide"	2750956	114
3-chloro-6-methylpyridazine	227254	57
chloronaphazine	10307	55
iminodibenzyl	10308	107
1-naphthaleneacetamide	6861	184
"1,2,4-oxadiazole, 3,5-diphenyl-"	136695	109
Trandolapril	5484727	121
"4,7-dichloroquinoline"	6866	85
"Pyrazolidine-3,5-dione, 4-(4-fluorobenzylidene)-1-phenyl-"	624704	300
"2-methoxy-4-(3-phenyl-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-6-yl)phenol"	2747790	149
"benzene, (methylthio)methyl -"	13016	-30
"6-(4-nitrophenyl)-3-phenyl-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole"	2747791	225
"ethanone, 1-(3,4-dimethoxyphenyl)-"	14328	51
"6-(2-methoxyphenyl)-3-phenyl-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole"	2747793	196
ecgonine	251910	205
"6-Phenyl-3-(pyridin-3-yl)-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole"	2747794	220
1-decene	13381	-66.15
"6-(4-Methoxyphenyl)-3-(pyridin-3-yl)-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole"	2747795	219
"2-methoxy-4-(3-pyridin-3-yl-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-6-yl)phenol"	2747796	216
"6-(4-nitrophenyl)-3-pyridin-3-yl-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole"	2747797	246
"2,3-difluoro-4-methoxyphenol"	2774120	105
"6-[(1E)-prop-1-en-1-yl]-3-pyridin-3-yl-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole"	2747798	121
"6-(2-methoxyphenyl)-3-pyridin-3-yl-5,6-dihydro[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole"	2747799	221
"5-{[5-(2-Methoxyphenyl)-2-furyl]methylene}pyrimidine-2,4,6(1H,3H,5H)-trione"	2754521	220
n-methylpyrrolidone	13387	-24
"5-{[5-(2-methoxyphenyl)furan-2-yl]methylidene}-2-thioxodihydropyrimidine-4,6(1H,5H)-dione"	2754522	235
2-Phenyl-4-(5-phenyl-furan-2-ylmethylene)-4H-oxazol-5-one	2754523	143
pyridine-4-carboxaldehyde	13389	-4
tribenuron-methyl	153909	141
"(4E)-4-{[5-(3-Nitrophenyl)-2-furyl]methylene}-2-phenyl-1,3-oxazol-5(4H)-one"	2754524	145
"(4E)-4-{[5-(2-Nitrophenyl)-2-furyl]methylene}-2-phenyl-1,3-oxazol-5(4H)-one"	2754525	210
"1,2,3,7,8-pentachlorodibenzo-p-dioxin"	38439	240
"(4Z)-4-{[5-(2-Methoxyphenyl)-2-furyl]methylene}-2-phenyl-1,3-oxazol-5(4H)-one"	2754526	170
2-methoxy-5-nitropyridine	79525	108.5
"(4E)-4-{[5-(4-Bromophenyl)-2-furyl]methylene}-2-phenyl-1,3-oxazol-5(4H)-one"	2754527	180
conhydrine	10314	121
"2,4-dimethoxy-6-hydroxy-benzaldehyd"	69725	70
2-hydroxy-4-methylbenzaldehyde	61200	60.5
"(4E)-4-{[5-(2-Bromophenyl)-2-furyl]methylene}-2-phenyl-1,3-oxazol-5(4H)-one"	2754528	160
butyrophenone	10315	12
"(2E)-1-(3,4-Dimethoxyphenyl)-3-[5-(2-nitrophenyl)-2-furyl]prop-2-en-1-one"	2754529	120
3-methoxybenzenesulfonamide	14763060	132
"1,2-dimethoxy-4-nitrobenzene"	69728	97
isopropoxybenzene	75966	-33
4'-fluorovalerophenone	69729	27
triafur	61205	280
"2-(2,4-dinitrophenyl)-4-methyl-5-nitro-2H-1,2,3-triazole"	278153	123
hydroquinone_diacetate	71006	125
salicylanilide	6872	136.5
Dasatinib	3062316	283
3-methyl-2-phenyl-1h-indole	258555	91.5
"3-methylcyclopentane-1,2-dione"	61209	105
thioacetanilide	820777	77.5
"benzene, 1,2,3-triiodo-"	11845	116
ethyl_2-aminobenzoate	6877	14
"2,4-dihydroxybenzhydrazide"	166785	241
o-phenoxyanisole	248758	79
"1,2-benzisoxazol-3(2h)-one"	210830	139
3-(Piperidinomethyl)-2-benzothiazolinethione	248759	277
"1-(2-chloro-6-fluoro),2-dibenzoyl-1-tert-butylhy"	23276457	209.5
"acetamide, 2-(benzoyloxy)-n-(1-methylethyl)-"	14033048	129.5
josamycin	3804	131.5
"silane, tribromomethyl-"	521018	-28.4
1-phenylundecane	23194	-5
"5-hydroxy-1,4-naphthoquinone"	3806	155
prednimustine	281327	163.5
"(2E)-3-(6-Nitro-1,3-benzodioxol-5-yl)-1-(2,4,6-trimethoxyphenyl)prop-2-en-1-one"	91228196	223.85
(2E)-1-(2-Furyl)-3-[5-(2-methoxyphenyl)-2-furyl]prop-2-en-1-one	2754530	97
(4-Chlorophenyl)methanol	13397	71
(2E)-1-(2-Furyl)-3-[5-(2-nitrophenyl)-2-furyl]prop-2-en-1-one	2754531	169
(2E)-3-[5-(4-Methylphenyl)-2-furyl]-1-phenylprop-2-en-1-one	2754532	101
dimethylnitramine	20120	58
"1-iodo-2,4-dinitrobenzene"	69730	89
ethyl 4-bromomethyl-2-(2-pyridyl)thiazole-5-carboxylate	46736799	102
(2E)-3-[5-(4-Nitrophenyl)-2-furyl]-1-phenylprop-2-en-1-one	2754533	158
"Propanamide, N-[5-(ethylthio)-1,3,4-thiadiazol-2-yl]-3,3,3-trifluoro-2-(trifluoromethyl)-"	659575	159
(2E)-3-[5-(3-Nitrophenyl)-2-furyl]-1-phenylprop-2-en-1-one	2754534	147
4-trifluormethyl-acetophenon	69731	31
"naphthalene, 5-ethyl-1,2,3,4-tetrahydro-"	54756	-44.5
4-methyl-3-nitrobenzaldehyde	1798998	46
(2E)-1-(5-methylfuran-2-yl)-3-(5-phenylfuran-2-yl)prop-2-en-1-one	2754535	123
6-chloroquinoxaline	79534	64
"1,3-benzodioxole-5-methanol"	10322	58
methoxypromazine	18847	46
2-acetyl-1-naphthol	69733	99
(2E)-1-(5-methylfuran-2-yl)-3-[5-(4-methylphenyl)furan-2-yl]prop-2-en-1-one	2754536	143
"silane, methyltriphenyl-"	522714	69.5
Cycloserine	401	147
"2,3-difluoro-4-methylbenzamide"	2774139	160
(2E)-1-(5-methylfuran-2-yl)-3-[5-(4-nitrophenyl)furan-2-yl]prop-2-en-1-one	2754537	179
sulfur	402	112
(~2~H_3_)Methyl 2-(~2~H_3_)methyl(~2~H_2_)prop-2-enoate	118794	-48
5-methyl-trans-2-hexene	18849	-124
"2-(di-tert-butylphosphino)-2'-(n,n-dimethylamino)biphenyl"	2734936	116
benzo[b]thiophene-2-carboxamide	237073	177
(2E)-1-(5-Methyl-2-furyl)-3-[5-(3-nitrophenyl)-2-furyl]prop-2-en-1-one	2754538	160
bicyclo[4.3.0]nonane	10325	-53
"2,2-dimethyl-5-[(3-nitrophenyl)hydrazono]-1,3-dioxane-4,6-dione"	2754539	192
2-(di-tert-butylphosphino)-2'-methylbiphenyl	2734937	92
4-Aminophenol	403	189
"1,1'-biphenyl, 2,2',3,3',5,5',6,6'-octafluoro-"	77492	85
2-dicyclohexylphosphino-2'-methylbiphenyl	2734938	109
indane	10326	-51.4
2-methyldiphenylmethane	69738	7
2-chloro-5-nitrobenzotrifluoride	61213	22
"3-bromo-2,5-dichloropyridine"	12901596	39
4-(4-Chlorophenyl)hydrazono-3-methyl-2-pyrazolin-5-one	5371486	216
10-methylphenothiazine	71015	102
indoline	10328	-21
"ethane, 1,2-dichloro-1-fluoro-"	79004	-60
"2,5-bis(1-aziridinyl)-3,6-bis(2-methoxyethoxy)-1"	61215	80
"2,3-dihydrobenzofuran"	10329	-21.5
diazodinitrophenol	6882	158
2-hexadecanol	85779	44
"1,3-dimethyl-1H-pyrazolo[4,3-d]pyrimidin-7-amine"	278164	238
4-bis(2-chloroethyl)aminobenzaldehyde	71018	86.5
"1h-indole, 2,3-dihydro-5-nitro-"	36219	93
"2,4,6-trichloroanisole"	6884	61.5
phthalide	6885	75
t-2 toxin	529495	151.5
pyrolan	6888	50
3-acetylbiphenyl	258568	36
5-bromoisatin	6889	249.5
"cyclohexanol, 3-(aminomethyl)-3,5,5-trimethyl-"	85889	45.5
(2-Bromophenyl)(diphenyl)phosphine	112836	113.85
"2,3-dimethyl-1-pentene"	18851	-134.3
"5-[(4-methoxyphenyl)hydrazono]-2,2-dimethyl-1,3-dioxane-4,6-dione"	2754540	128
"3,3-dimethyl-1-pentene"	18852	-134.3
"5-[(4-Hydroxyphenyl)hydrazono]-2,2-dimethyl-1,3-dioxane-4,6-dione"	2754541	238
ethyl formate	8025	-79.6
"2,2'-bis(diphenylphosphino)biphenyl"	2734940	213
"morpholine, 4-butyl-"	70499	-57.1
2-bromo-5-methoxybenzamide	2728705	160
1-boc-3-oxopiperazine	3157178	158
"naphtho[2,3-c]furan-1,3-dione"	69743	249
"2,8-bis(trifluoromethyl)-4-hydroxyquinoline"	736140	132
"3,4-diaminotoluene"	10332	89.5
"1(2h)-pyrimidinecarboxamide, 5-fluoro-3,4-dihydr"	12370700	226.5
fluocortin butyl	21872759	195.1
9-Chloroanthracene	69744	104
(3Z)-5-(2-methylpropyl)-3-{[5-(3-nitrophenyl)furan-2-yl]methylidene}furan-2(3H)-one	2754547	164
"4-Methylbenzene-1,2-dithiol"	10334	31
(3Z)-5-(2-methylpropyl)-3-{[5-(4-nitrophenyl)furan-2-yl]methylidene}furan-2(3H)-one	2754548	163
"2,4,5-trimethylphenol"	10335	72
(3Z)-3-{[5-(4-bromophenyl)furan-2-yl]methylidene}-5-(2-methylpropyl)furan-2(3H)-one	2754549	108
"phenol, 4-amino-2,6-dichloro-"	80037	168
trans-crotonaldehyde	20138	-76
cyclorphan	44299063	188
allylidenediacetate	61226	-37.6
adrenoglomerulotropin	71028	150.5
"piperidine, 4-(phenylmethyl)-"	31738	16.8
"2,3-dimethylaniline"	6893	2
2-methyl-3-chloroaniline	6894	1
ethyl 2-[2-(4-methoxyphenyl)-5-oxotetrahydrofuran-2-yl]-2-methylpropanoate	2747991	59
"1,2,3-Trichlorobenzene"	6895	53
4-acetoxy-3-methoxybenzaldehyde	61229	76
5-bromo-2-iodopyridine	593690	115
"2,6-dimethylaniline"	6896	11.2
2-chloro-6-methylaniline	6897	2
4-(2-methoxyethyl)phenol	92516	44
capecitabine	400633	115.5
"2,6-dichlorophenol"	6899	65
4-aminophthalimide	72915	290
5-fluoro-1h-indazole	17842486	123
"dimethyl 1-hydroxynaphthalene-2,3-dicarboxylate"	2752722	105
ketamine	3821	92.5
ketanserin	3822	231
